380,0,0,0,0,0,0,0,0.01,0.01
381,0,0,0,0,0,0,0,0.01,0.02
382,0,0,0,0,0,0,0,0.01,0.02
383,0,0,0,0,0,0.01,0,0.02,0.03
384,0,0,0,0,0.01,0.01,0,0.02,0.04
385,0.01,0,0,0,0.01,0.01,0,0.03,0.06
386,0.01,0,0.01,0,0.01,0.01,0,0.04,0.08
387,0.01,0,0.01,0,0.01,0.01,0,0.06,0.1
388,0.01,0,0.01,0,0.01,0.01,0,0.08,0.14
389,0.01,0,0.01,0,0.01,0.01,0,0.1,0.19
390,0.01,0,0.01,0,0.01,0.02,0,0.14,0.26
391,0.01,0.01,0.01,0.01,0.02,0.02,0.01,0.19,0.35
392,0.01,0.01,0.01,0.01,0.02,0.02,0.01,0.25,0.47
393,0.02,0.01,0.02,0.01,0.02,0.03,0.01,0.34,0.63
394,0.02,0.01,0.02,0.01,0.03,0.03,0.01,0.45,0.85
395,0.02,0.01,0.02,0.01,0.03,0.04,0.01,0.61,1.15
396,0.02,0.01,0.03,0.01,0.04,0.04,0.01,0.81,1.54
397,0.03,0.01,0.03,0.02,0.04,0.05,0.01,1.1,2.05
398,0.03,0.02,0.04,0.02,0.05,0.06,0.02,1.48,2.7
399,0.03,0.02,0.04,0.03,0.06,0.07,0.02,1.98,3.5
400,0.04,0.02,0.05,0.03,0.07,0.08,0.02,2.62,4.47
401,0.04,0.03,0.06,0.04,0.08,0.09,0.03,3.42,5.61
402,0.05,0.03,0.07,0.04,0.1,0.11,0.03,4.4,6.95
403,0.06,0.04,0.08,0.05,0.11,0.12,0.04,5.55,8.47
404,0.07,0.04,0.09,0.07,0.13,0.15,0.04,6.9,10.16
405,0.07,0.05,0.11,0.08,0.16,0.17,0.05,8.43,11.98
406,0.09,0.06,0.13,0.1,0.18,0.21,0.06,10.08,13.84
407,0.1,0.07,0.15,0.12,0.22,0.24,0.07,11.78,15.63
408,0.11,0.08,0.18,0.14,0.25,0.29,0.08,13.45,17.25
409,0.13,0.09,0.21,0.17,0.3,0.34,0.09,15.06,18.69
410,0.15,0.11,0.25,0.21,0.35,0.41,0.11,16.51,19.89
411,0.16,0.13,0.29,0.25,0.41,0.49,0.13,17.64,20.71
412,0.19,0.15,0.34,0.3,0.48,0.58,0.15,18.36,21.13
413,0.22,0.18,0.4,0.37,0.56,0.68,0.18,18.67,21.18
414,0.25,0.21,0.47,0.45,0.66,0.8,0.21,18.5,20.87
415,0.28,0.24,0.56,0.54,0.78,0.93,0.24,17.9,20.24
416,0.32,0.28,0.66,0.65,0.91,1.08,0.28,16.9,19.33
417,0.37,0.33,0.77,0.78,1.07,1.25,0.32,15.64,18.22
418,0.41,0.38,0.89,0.94,1.25,1.43,0.37,14.2,16.98
419,0.47,0.44,1.04,1.11,1.45,1.63,0.43,12.7,15.67
420,0.53,0.5,1.2,1.31,1.67,1.84,0.5,11.26,14.39
421,0.59,0.58,1.39,1.54,1.93,2.07,0.57,9.93,13.16
422,0.66,0.66,1.6,1.79,2.22,2.31,0.65,8.74,12.01
423,0.74,0.75,1.83,2.08,2.54,2.55,0.74,7.69,10.92
424,0.83,0.85,2.09,2.4,2.9,2.8,0.83,6.76,9.89
425,0.92,0.96,2.37,2.75,3.3,3.05,0.94,5.94,8.95
426,1.02,1.09,2.69,3.14,3.73,3.31,1.06,5.26,8.13
427,1.14,1.22,3.03,3.56,4.22,3.57,1.18,4.67,7.42
428,1.26,1.37,3.4,4.02,4.74,3.82,1.31,4.15,6.79
429,1.39,1.54,3.8,4.51,5.32,4.06,1.46,3.7,6.24
430,1.54,1.71,4.24,5.04,5.94,4.29,1.6,3.31,5.78
431,1.7,1.9,4.72,5.61,6.62,4.56,1.76,2.99,5.4
432,1.88,2.1,5.24,6.21,7.35,4.84,1.92,2.72,5.1
433,2.07,2.32,5.82,6.85,8.13,5.12,2.08,2.51,4.88
434,2.28,2.56,6.46,7.55,8.99,5.41,2.26,2.36,4.74
435,2.52,2.82,7.17,8.31,9.92,5.69,2.43,2.25,4.65
436,2.78,3.11,7.98,9.14,10.94,5.98,2.61,2.16,4.61
437,3.08,3.44,8.88,10.06,12.07,6.26,2.8,2.1,4.61
438,3.41,3.81,9.87,11.06,13.3,6.54,2.99,2.07,4.66
439,3.77,4.23,10.95,12.16,14.66,6.81,3.18,2.06,4.74
440,4.16,4.71,12.11,13.37,16.15,7.06,3.38,2.07,4.86
441,4.58,5.24,13.31,14.68,17.77,7.29,3.58,2.09,4.99
442,5.03,5.84,14.52,16.09,19.51,7.5,3.8,2.12,5.16
443,5.48,6.49,15.69,17.58,21.35,7.67,4.05,2.17,5.36
444,5.94,7.17,16.77,19.1,23.25,7.81,4.32,2.23,5.57
445,6.39,7.87,17.7,20.61,25.15,7.91,4.59,2.29,5.78
446,6.81,8.55,18.44,22.04,26.99,7.97,4.88,2.36,6.01
447,7.18,9.19,18.94,23.34,28.7,7.98,5.17,2.44,6.25
448,7.49,9.76,19.18,24.45,30.2,7.95,5.44,2.52,6.5
449,7.73,10.22,19.16,25.33,31.44,7.87,5.67,2.6,6.74
450,7.89,10.56,18.87,25.91,32.34,7.74,5.84,2.68,6.97
451,7.97,10.77,18.33,26.17,32.88,7.58,5.96,2.77,7.21
452,7.97,10.83,17.58,26.11,33.02,7.38,6,2.86,7.44
453,7.9,10.75,16.68,25.73,32.76,7.15,5.94,2.95,7.67
454,7.76,10.55,15.66,25.05,32.14,6.89,5.79,3.05,7.88
455,7.57,10.24,14.58,24.12,31.18,6.62,5.56,3.15,8.1
456,7.33,9.84,13.5,22.98,29.93,6.33,5.27,3.25,8.31
457,7.07,9.39,12.46,21.69,28.46,6.02,4.96,3.34,8.51
458,6.79,8.9,11.51,20.3,26.84,5.72,4.65,3.44,8.69
459,6.52,8.41,10.65,18.87,25.15,5.42,4.32,3.54,8.87
460,6.25,7.94,9.9,17.47,23.46,5.13,4,3.64,9.05
461,6,7.5,9.27,16.13,21.82,4.84,3.77,3.75,9.22
462,5.76,7.12,8.73,14.91,20.27,4.57,3.56,3.86,9.38
463,5.54,6.79,8.28,13.8,18.85,4.31,3.37,3.96,9.53
464,5.34,6.5,7.88,12.8,17.55,4.07,3.25,4.07,9.68
465,5.16,6.25,7.53,11.9,16.39,3.85,3.14,4.18,9.82
466,4.98,6.03,7.2,11.1,15.35,3.64,3.05,4.31,9.98
467,4.82,5.82,6.88,10.39,14.42,3.44,2.98,4.43,10.11
468,4.66,5.62,6.58,9.75,13.58,3.26,2.92,4.56,10.25
469,4.51,5.43,6.29,9.17,12.8,3.09,2.86,4.69,10.38
470,4.37,5.23,6.02,8.62,12.08,2.94,2.8,4.83,10.52
471,4.23,5.04,5.77,8.1,11.4,2.79,2.75,4.97,10.67
472,4.11,4.85,5.55,7.61,10.76,2.66,2.72,5.12,10.81
473,4.01,4.67,5.36,7.16,10.16,2.54,2.69,5.28,10.96
474,3.91,4.5,5.22,6.73,9.6,2.43,2.67,5.42,11.08
475,3.84,4.36,5.11,6.34,9.08,2.34,2.68,5.57,11.21
476,3.77,4.24,5.05,5.98,8.61,2.24,2.7,5.72,11.33
477,3.73,4.14,5.03,5.66,8.18,2.16,2.74,5.89,11.47
478,3.71,4.07,5.04,5.37,7.81,2.09,2.82,6.07,11.62
479,3.7,4.02,5.09,5.12,7.48,2.03,2.91,6.23,11.74
480,3.7,4,5.17,4.89,7.21,1.99,3.03,6.4,11.87
481,3.72,4.01,5.26,4.71,6.99,1.95,3.17,6.57,12
482,3.74,4.03,5.38,4.55,6.8,1.93,3.34,6.75,12.14
483,3.78,4.07,5.52,4.42,6.66,1.91,3.53,6.93,12.28
484,3.83,4.12,5.66,4.32,6.55,1.91,3.74,7.1,12.39
485,3.88,4.17,5.82,4.25,6.48,1.92,3.98,7.27,12.5
486,3.94,4.24,5.99,4.19,6.43,1.95,4.23,7.44,12.6
487,4.01,4.31,6.17,4.16,6.41,1.99,4.51,7.61,12.71
488,4.09,4.4,6.36,4.15,6.42,2.04,4.82,7.78,12.81
489,4.17,4.49,6.56,4.16,6.44,2.1,5.15,7.93,12.89
490,4.26,4.59,6.77,4.19,6.49,2.19,5.53,8.08,12.98
491,4.35,4.71,6.98,4.25,6.56,2.29,5.94,8.23,13.05
492,4.45,4.82,7.2,4.33,6.65,2.4,6.36,8.37,13.11
493,4.56,4.95,7.43,4.43,6.76,2.54,6.82,8.5,13.16
494,4.67,5.08,7.65,4.55,6.9,2.69,7.31,8.62,13.2
495,4.79,5.21,7.88,4.7,7.05,2.87,7.84,8.73,13.23
496,4.91,5.35,8.1,4.87,7.22,3.06,8.41,8.84,13.26
497,5.03,5.5,8.32,5.07,7.42,3.27,9,8.94,13.28
498,5.15,5.65,8.54,5.28,7.63,3.51,9.64,9.04,13.29
499,5.28,5.8,8.74,5.52,7.86,3.76,10.31,9.12,13.3
500,5.41,5.96,8.94,5.77,8.1,4.03,10.96,9.21,13.3
501,5.53,6.11,9.14,6.04,8.36,4.33,11.65,9.28,13.29
502,5.66,6.26,9.32,6.33,8.62,4.64,12.39,9.35,13.27
503,5.79,6.42,9.5,6.64,8.89,4.96,13.11,9.42,13.26
504,5.92,6.57,9.67,6.95,9.17,5.29,13.87,9.48,13.23
505,6.05,6.72,9.82,7.27,9.45,5.64,14.61,9.54,13.21
506,6.18,6.87,9.97,7.6,9.74,5.99,15.33,9.58,13.19
507,6.31,7.01,10.12,7.93,10.03,6.36,16.05,9.63,13.16
508,6.44,7.15,10.26,8.26,10.31,6.73,16.73,9.67,13.13
509,6.57,7.3,10.39,8.6,10.6,7.11,17.37,9.71,13.09
510,6.7,7.44,10.52,8.94,10.88,7.49,18.01,9.75,13.05
511,6.82,7.58,10.64,9.28,11.16,7.85,18.6,9.78,13.01
512,6.95,7.72,10.75,9.62,11.43,8.21,19.09,9.81,12.97
513,7.08,7.85,10.86,9.95,11.7,8.56,19.53,9.84,12.93
514,7.21,7.98,10.96,10.28,11.96,8.91,19.93,9.87,12.9
515,7.34,8.11,11.06,10.6,12.22,9.25,20.24,9.91,12.88
516,7.47,8.24,11.16,10.92,12.47,9.58,20.43,9.94,12.85
517,7.6,8.36,11.25,11.23,12.71,9.91,20.6,9.97,12.82
518,7.73,8.49,11.33,11.54,12.94,10.22,20.69,9.99,12.78
519,7.85,8.61,11.42,11.83,13.16,10.53,20.65,10.03,12.76
520,7.98,8.74,11.51,12.11,13.38,10.82,20.57,10.06,12.74
521,8.11,8.87,11.6,12.39,13.58,11.11,20.43,10.09,12.72
522,8.24,9,11.68,12.65,13.78,11.38,20.2,10.13,12.71
523,8.37,9.13,11.76,12.9,13.96,11.64,19.91,10.17,12.69
524,8.51,9.26,11.85,13.14,14.13,11.88,19.59,10.21,12.68
525,8.64,9.39,11.93,13.36,14.29,12.11,19.22,10.26,12.68
526,8.77,9.52,12.02,13.57,14.45,12.34,18.78,10.31,12.68
527,8.9,9.65,12.11,13.76,14.6,12.54,18.33,10.36,12.68
528,9.04,9.79,12.19,13.95,14.74,12.74,17.9,10.41,12.68
529,9.18,9.92,12.28,14.13,14.86,12.92,17.43,10.46,12.69
530,9.31,10.06,12.37,14.3,14.98,13.08,16.93,10.51,12.7
531,9.45,10.19,12.46,14.47,15.09,13.22,16.46,10.57,12.7
532,9.59,10.33,12.55,14.62,15.2,13.35,15.96,10.63,12.72
533,9.73,10.47,12.64,14.76,15.3,13.46,15.5,10.69,12.73
534,9.88,10.61,12.74,14.9,15.39,13.57,15.04,10.75,12.75
535,10.02,10.75,12.83,15.02,15.48,13.66,14.58,10.82,12.77
536,10.16,10.89,12.93,15.14,15.56,13.75,14.16,10.89,12.8
537,10.31,11.04,13.02,15.25,15.63,13.82,13.77,10.96,12.83
538,10.46,11.18,13.12,15.36,15.69,13.89,13.37,11.03,12.86
539,10.61,11.33,13.21,15.45,15.76,13.95,12.98,11.1,12.89
540,10.76,11.49,13.31,15.54,15.81,14.01,12.61,11.17,12.91
541,10.91,11.64,13.41,15.62,15.86,14.06,12.26,11.24,12.93
542,11.06,11.79,13.51,15.7,15.91,14.1,11.95,11.32,12.96
543,11.22,11.94,13.6,15.77,15.94,14.13,11.68,11.4,12.99
544,11.37,12.1,13.7,15.84,15.98,14.17,11.38,11.48,13.02
545,11.53,12.25,13.79,15.9,16.01,14.19,11.09,11.55,13.04
546,11.7,12.41,13.89,15.96,16.03,14.21,10.83,11.63,13.07
547,11.86,12.57,13.98,16.02,16.06,14.23,10.59,11.7,13.09
548,12.03,12.73,14.08,16.06,16.08,14.25,10.36,11.77,13.11
549,12.2,12.89,14.17,16.11,16.09,14.27,10.13,11.85,13.13
550,12.38,13.05,14.26,16.15,16.1,14.28,9.93,11.92,13.16
551,12.55,13.21,14.34,16.19,16.11,14.29,9.73,11.99,13.18
552,12.73,13.37,14.43,16.24,16.12,14.29,9.56,12.07,13.2
553,12.91,13.53,14.52,16.28,16.13,14.29,9.39,12.14,13.22
554,13.09,13.7,14.6,16.31,16.13,14.28,9.24,12.22,13.24
555,13.28,13.86,14.68,16.33,16.13,14.27,9.11,12.3,13.26
556,13.46,14.02,14.77,16.35,16.13,14.26,8.99,12.38,13.28
557,13.65,14.19,14.85,16.36,16.13,14.25,8.87,12.45,13.31
558,13.84,14.36,14.92,16.38,16.12,14.23,8.76,12.53,13.32
559,14.03,14.53,15,16.4,16.11,14.21,8.66,12.6,13.34
560,14.23,14.7,15.08,16.42,16.1,14.19,8.6,12.68,13.35
561,14.42,14.86,15.15,16.42,16.08,14.16,8.54,12.75,13.36
562,14.61,15.02,15.22,16.42,16.06,14.13,8.46,12.83,13.38
563,14.81,15.18,15.29,16.43,16.04,14.1,8.41,12.9,13.39
564,15,15.34,15.36,16.43,16.01,14.07,8.36,12.98,13.4
565,15.2,15.5,15.42,16.44,15.98,14.03,8.31,13.07,13.42
566,15.4,15.67,15.49,16.43,15.95,13.99,8.28,13.16,13.44
567,15.6,15.82,15.55,16.41,15.91,13.95,8.25,13.24,13.47
568,15.8,15.98,15.61,16.39,15.87,13.91,8.23,13.33,13.48
569,16,16.13,15.66,16.38,15.82,13.87,8.22,13.43,13.5
570,16.2,16.28,15.72,16.36,15.77,13.82,8.21,13.52,13.52
571,16.4,16.43,15.77,16.34,15.73,13.77,8.21,13.62,13.54
572,16.6,16.58,15.82,16.32,15.68,13.73,8.22,13.72,13.55
573,16.8,16.72,15.87,16.29,15.62,13.68,8.24,13.83,13.58
574,16.99,16.87,15.92,16.25,15.56,13.63,8.26,13.94,13.6
575,17.19,17,15.97,16.2,15.5,13.59,8.24,14.06,13.64
576,17.38,17.15,16.01,16.16,15.43,13.54,8.28,14.18,13.67
577,17.58,17.29,16.06,16.11,15.37,13.48,8.3,14.3,13.71
578,17.77,17.43,16.1,16.08,15.3,13.44,8.34,14.43,13.75
579,17.96,17.56,16.14,16.03,15.23,13.39,8.38,14.56,13.78
